TARGET_PERIOD,period_dt,actual,full_gcsr,bates_granger_mv,cov_only,recent_best,graph_only,equal
2016-06-01,2016-06-01,0.1,0.7694687670371766,0.6999999999993,0.7311244866470782,0.7,0.7045462740438768,1.167796610175
2016-09-01,2016-09-01,0.4,0.7494800124178197,0.6999999999993001,0.7213305416868038,0.7,0.7103798909967225,1.2499500000000001
2016-12-01,2016-12-01,1.1,1.1281075300523555,0.999999999999,1.079490960651946,1.0,1.005644597163953,1.4024999999999999
2017-03-01,2017-03-01,1.5,0.974572162162693,0.7999999999992,0.9137344429040515,0.8,0.8080191738121594,1.524175
2017-06-01,2017-06-01,1.3,1.0947525589615181,1.0845598874828837,1.081691701611923,1.1,1.0966911182333643,1.163526763625
2017-09-01,2017-09-01,1.6,1.0440798314538362,1.1610594840646542,1.1772262925356949,1.0,1.0028611055070478,1.276722302625
2017-12-01,2017-12-01,1.3,1.452192159255448,1.4426000486138069,1.4519685866911634,1.5,1.3948552580779732,1.376804053375
2018-03-01,2018-03-01,1.4,1.2319336078346652,1.3041987941073852,1.3085036827217196,1.2,1.207202117123651,1.281161382875
2018-06-01,2018-06-01,2.0,1.512960745406908,1.5634543646662296,1.5438328514761293,1.5,1.5063085267872804,1.4689931362250002
2018-09-01,2018-09-01,2.1,1.5628719491576388,1.5405031956007313,1.55947955548999,1.6,1.5965905543214405,1.63505314235
2018-12-01,2018-12-01,1.5,1.6477403614497175,1.6200403361108409,1.5999518529040908,1.4,1.5828125778293838,1.5499999999999998
2019-03-01,2019-03-01,1.4,1.7889485627090993,1.7999999999982,1.7835154084064748,1.57,1.7999233219252515,1.6925000000000001
2019-06-01,2019-06-01,1.3,1.4504414489292943,1.4402437099434353,1.436079642109033,1.6,1.4911718639195486,1.482974607175
2019-09-01,2019-09-01,0.8,1.780906206000916,1.7978716375622195,1.7715961079383435,1.5,1.7990490713812426,1.6724605012000002
2019-12-01,2019-12-01,1.3,1.4659017296752044,1.4150700829565883,1.423661758708351,1.6,1.5988869665975771,1.4500000000000002
2020-03-01,2020-03-01,0.7,1.4520215899589282,1.4276295867991815,1.4499137396319273,1.6875135934,1.476458474320796,1.4825493995
2020-06-01,2020-06-01,0.3,1.3992717831795105,1.4141764789432114,1.3970369752632692,1.3,1.3984874743419409,1.3850570558
2020-09-01,2020-09-01,-0.3,1.0757706149073072,1.057146249312306,1.1113841720338864,1.3,1.1451714606474837,1.26255025775
2020-12-01,2020-12-01,-0.3,1.2840511443605964,1.278146349722345,1.2667634128434762,1.3,1.2989540340170336,1.2275
2021-03-01,2021-03-01,1.3,0.7105814420674148,0.7356770530370207,0.7774047068243926,0.5,0.7636094988188334,0.9482653721750001
2021-06-01,2021-06-01,1.9,1.4411258555482316,1.8982456543782598,1.6429691940251097,0.9,1.0035688253163129,1.441819419325
2021-09-01,2021-09-01,3.4,0.9781731831312486,1.343233598494315,1.2128802348771888,0.7,0.7398401315553781,1.0986
2021-12-01,2021-12-01,5.0,1.5345373055206644,1.6229999999983769,1.467495763223055,1.623,1.6194609550316932,1.1628788224
2022-03-01,2022-03-01,7.4,1.1999999999988,1.1999999999988,1.17853875123382,1.2,1.1997987777859405,1.3278663156
2022-06-01,2022-06-01,8.6,1.581667192321734,1.6846259503958116,1.581783905560613,1.4,1.315062132520962,1.5095770166999998
2022-09-01,2022-09-01,9.9,1.5343167246104465,1.7999999999982,1.5744438276409445,1.8,1.3542533216165473,1.5102920000000002
2022-12-01,2022-12-01,9.2,1.7301905394796906,1.7999999999981997,1.7302103818132475,1.8,1.983924527637522,1.699814514125
2023-03-01,2023-03-01,6.9,3.451689798148137,3.8999999999960995,3.4519918758143917,3.9,4.67615571947124,2.8914905335500003
2023-06-01,2023-06-01,5.5,2.6999999999973023,2.6999999999973,3.5079456691508817,2.7,2.7703582637072164,3.4435221944500003
2023-09-01,2023-09-01,4.3,4.290193468394491,3.4556511118345985,4.290108521013062,3.3,4.083774836637034,4.444592345
2023-12-01,2023-12-01,2.9,3.799999999996197,3.7999999999961993,3.4947909090310567,3.8,4.101524067259542,3.5749999999999993
